,chemical formula,supercell,phase,i,degeneracy,total energy [eV],ref. total energy [meV/f.u.],directory
1988,Hf29La2O63Si,222,14,232,1,-12839946.149386099,-20.260350048542023,Hf29La2O63Si_sc222/No14/232
1989,Hf29La2O63Si,222,14,233,1,-12839946.5923714,-34.24935948848725,Hf29La2O63Si_sc222/No14/233
1990,Hf29La2O63Si,222,14,234,1,-12839946.200859599,-21.88582903146744,Hf29La2O63Si_sc222/No14/234
1991,Hf29La2O63Si,222,29,213,1,-12839945.853035301,-10.901903748512268,Hf29La2O63Si_sc222/No29/213
1992,Hf29La2O63Si,222,29,214,1,-12839945.8087549,-9.503575325012207,Hf29La2O63Si_sc222/No29/214
1993,Hf29La2O63Si,222,29,215,1,-12839945.514395699,-0.20802158117294312,Hf29La2O63Si_sc222/No29/215
1994,Hf29La2O63Si,222,61,226,1,-12839945.5124868,-0.14774060249328613,Hf29La2O63Si_sc222/No61/226
1995,Hf29La2O63Si,222,61,227,1,-12839945.228518302,8.819685757160189,Hf29La2O63Si_sc222/No61/227
1996,Hf29La2O63Si,222,61,228,1,-12839945.444245402,2.007251024246216,Hf29La2O63Si_sc222/No61/228
1997,Hf29La2O63Si,222,61,229,1,-12839945.262293901,7.753087878227234,Hf29La2O63Si_sc222/No61/229
1998,Hf29La2O63Si,222,61,230,1,-12839944.822487801,21.641701579093933,Hf29La2O63Si_sc222/No61/230
1999,Hf29La2O63Si,222,61,231,1,-12839945.1727488,10.580827832221985,Hf29La2O63Si_sc222/No61/231
2000,Hf29La2O63Si,222,14,235,1,-12839945.0425641,14.69192361831665,Hf29La2O63Si_sc222/No14/235
2001,Hf29La2O63Si,222,14,236,1,-12839944.4854734,32.284261524677284,Hf29La2O63Si_sc222/No14/236
2002,Hf29La2O63Si,222,14,237,1,-12839945.7686791,-8.23802363872528,Hf29La2O63Si_sc222/No14/237
2003,Hf29La2O63Si,222,14,238,1,-12839944.4131791,34.567239463329315,Hf29La2O63Si_sc222/No14/238
2004,Hf29La2O63Si,222,14,239,1,-12839944.9649936,17.14151841402054,Hf29La2O63Si_sc222/No14/239
2005,Hf29La2O63Si,222,14,240,1,-12839944.392455699,35.22166258096696,Hf29La2O63Si_sc222/No14/240
2006,Hf29La2O63Si,222,29,216,1,-12839944.2103303,40.9729910492897,Hf29La2O63Si_sc222/No29/216
2007,Hf29La2O63Si,222,29,217,1,-12839944.2894337,38.47498887777329,Hf29La2O63Si_sc222/No29/217
2008,Hf29La2O63Si,222,29,218,1,-12839944.1222535,43.754363656044006,Hf29La2O63Si_sc222/No29/218
2009,Hf29La2O63Si,222,29,219,1,-12839943.865617,51.85867428779602,Hf29La2O63Si_sc222/No29/219
2010,Hf29La2O63Si,222,29,220,1,-12839944.2235556,40.55534994602203,Hf29La2O63Si_sc222/No29/220
2011,Hf29La2O63Si,222,29,221,1,-12839944.184397,41.791937351226814,Hf29La2O63Si_sc222/No29/221
2012,Hf29La2O63Si,222,61,232,1,-12839945.7497036,-7.638797402381897,Hf29La2O63Si_sc222/No61/232
2013,Hf29La2O63Si,222,61,233,1,-12839945.6344453,-3.999061524868012,Hf29La2O63Si_sc222/No61/233
2014,Hf29La2O63Si,222,61,234,1,-12839945.7375536,-7.255113244056702,Hf29La2O63Si_sc222/No61/234
2015,Hf29La2O63Si,222,14,241,1,-12839945.070472,13.810621559619904,Hf29La2O63Si_sc222/No14/241
2016,Hf29La2O63Si,222,14,242,1,-12839945.341579199,5.249341547489166,Hf29La2O63Si_sc222/No14/242
2017,Hf29La2O63Si,222,14,243,1,-12839945.4727667,1.1065784096717834,Hf29La2O63Si_sc222/No14/243
2018,Hf29La2O63Si,222,14,244,1,-12839944.434429599,33.896171033382416,Hf29La2O63Si_sc222/No14/244
2019,Hf29La2O63Si,222,14,245,1,-12839945.4501509,1.8207616209983823,Hf29La2O63Si_sc222/No14/245
2020,Hf29La2O63Si,222,14,246,1,-12839944.3912379,35.26011949777603,Hf29La2O63Si_sc222/No14/246
2021,Hf29La2O63Si,222,29,222,1,-12839944.5415337,30.513936281204227,Hf29La2O63Si_sc222/No29/222
2022,Hf29La2O63Si,222,29,223,1,-12839944.161881099,42.502965807914734,Hf29La2O63Si_sc222/No29/223
2023,Hf29La2O63Si,222,29,224,1,-12839944.0435902,46.23846793174744,Hf29La2O63Si_sc222/No29/224
2024,Hf29La2O63Si,222,29,225,1,-12839943.7883064,54.300061523914344,Hf29La2O63Si_sc222/No29/225
2025,Hf29La2O63Si,222,29,226,1,-12839944.7838105,22.86308997869492,Hf29La2O63Si_sc222/No29/226
2026,Hf29La2O63Si,222,29,227,1,-12839943.969647199,48.573509991168976,Hf29La2O63Si_sc222/No29/227
2027,Hf29La2O63Si,222,61,235,1,-12839945.5478644,-1.2649279236793518,Hf29La2O63Si_sc222/No61/235
2028,Hf29La2O63Si,222,61,236,1,-12839944.903777199,19.074667811393734,Hf29La2O63Si_sc222/No61/236
2029,Hf29La2O63Si,222,61,237,1,-12839945.4823134,0.8051036596298218,Hf29La2O63Si_sc222/No61/237
