,chemical formula,supercell,phase,i,degeneracy,total energy [eV],ref. total energy [meV/f.u.],directory
0,Hf31O64Si,222,14,1,1,-13215650.937874401,0.0,Hf31O64Si_sc222/No14/1
1,Hf31O64Si,222,29,1,1,-13215649.416305901,47.54901558160782,Hf31O64Si_sc222/No29/1
2,Hf31O64Si,222,61,1,1,-13215650.1487012,24.66166251897812,Hf31O64Si_sc222/No61/1
3,Hf31O64Si,222,137,1,1,-13215648.6660696,70.99389994144441,Hf31O64Si_sc222/No137/1
4,Hf30O64Si2,222,14,1,1,-12801675.6598604,-16.29295325279236,Hf30O64Si2_sc222/No14/1
5,Hf30O64Si2,222,29,1,1,-12801673.9428716,37.36294680833817,Hf30O64Si2_sc222/No29/1
6,Hf30O64Si2,222,61,1,1,-12801674.8314048,9.59628438949585,Hf30O64Si2_sc222/No61/1
7,Hf30O64Si2,222,137,1,2,-12801675.1403873,-0.059418797492980964,Hf30O64Si2_sc222/No137/1
8,Hf30O64Si2,222,14,2,1,-12801675.4223624,-8.871140599250793,Hf30O64Si2_sc222/No14/2
9,Hf30O64Si2,222,29,2,1,-12801674.7473616,12.222634315490724,Hf30O64Si2_sc222/No29/2
10,Hf30O64Si2,222,61,2,1,-12801674.6443668,15.441221833229065,Hf30O64Si2_sc222/No61/2
11,Hf30O64Si2,222,137,2,1,-12801675.1422021,-0.1161312460899353,Hf30O64Si2_sc222/No137/2
12,Hf30O64Si2,222,14,3,1,-12801675.1538345,-0.4796437621116638,Hf30O64Si2_sc222/No14/3
13,Hf30O64Si2,222,29,3,1,-12801673.532314999,50.19284057617188,Hf30O64Si2_sc222/No29/3
14,Hf30O64Si2,222,61,3,1,-12801674.369461099,24.03202497959137,Hf30O64Si2_sc222/No61/3
15,Hf30O64Si2,222,137,3,2,-12801674.380386801,23.690596878528595,Hf30O64Si2_sc222/No137/3
16,Hf30O64Si2,222,14,4,1,-12801675.2228319,-2.6358124613761897,Hf30O64Si2_sc222/No14/4
17,Hf30O64Si2,222,29,4,1,-12801673.9248005,37.927668690681465,Hf30O64Si2_sc222/No29/4
18,Hf30O64Si2,222,61,4,2,-12801674.673863001,14.519465565681458,Hf30O64Si2_sc222/No61/4
19,Hf30O64Si2,222,14,5,1,-12801675.233500099,-2.9691938161849976,Hf30O64Si2_sc222/No14/5
20,Hf30O64Si2,222,137,4,1,-12801674.3803824,23.690734326839447,Hf30O64Si2_sc222/No137/4
21,Hf30O64Si2,222,14,6,1,-12801674.8694505,8.407356202602386,Hf30O64Si2_sc222/No14/6
22,Hf30O64Si2,222,29,5,1,-12801673.8540885,40.137418687343605,Hf30O64Si2_sc222/No29/5
23,Hf30O64Si2,222,61,5,2,-12801674.685547,14.15434068441391,Hf30O64Si2_sc222/No61/5
24,Hf30O64Si2,222,14,7,1,-12801675.0476638,2.8381905555725098,Hf30O64Si2_sc222/No14/7
25,Hf30O64Si2,222,137,5,1,-12801674.4292606,22.163290560245514,Hf30O64Si2_sc222/No137/5
26,Hf30O64Si2,222,14,8,2,-12801675.412355099,-8.558412492275236,Hf30O64Si2_sc222/No14/8
27,Hf30O64Si2,222,29,6,2,-12801673.6986959,44.99343740940094,Hf30O64Si2_sc222/No29/6
28,Hf30O64Si2,222,61,6,2,-12801674.442875698,21.737818777561188,Hf30O64Si2_sc222/No61/6
29,Hf30O64Si2,222,137,6,8,-12801674.5320712,18.950459361076355,Hf30O64Si2_sc222/No137/6
30,Hf30O64Si2,222,61,7,2,-12801674.4534061,21.408743739128113,Hf30O64Si2_sc222/No61/7
31,Hf30O64Si2,222,14,9,2,-12801675.4481791,-9.677912533283235,Hf30O64Si2_sc222/No14/9
32,Hf30O64Si2,222,29,7,2,-12801674.1932256,29.539384365081787,Hf30O64Si2_sc222/No29/7
33,Hf30O64Si2,222,14,10,2,-12801675.0931069,1.418093740940094,Hf30O64Si2_sc222/No14/10
34,Hf30O64Si2,222,29,8,2,-12801673.7195831,44.34071242809296,Hf30O64Si2_sc222/No29/8
35,Hf30O64Si2,222,61,8,2,-12801674.1567815,30.678262531757355,Hf30O64Si2_sc222/No61/8
36,Hf30O64Si2,222,137,7,8,-12801674.280181099,26.822024881839752,Hf30O64Si2_sc222/No137/7
37,Hf30O64Si2,222,14,11,2,-12801675.024168,3.572434365749359,Hf30O64Si2_sc222/No14/11
38,Hf30O64Si2,222,29,9,2,-12801673.2103559,60.254062473773956,Hf30O64Si2_sc222/No29/9
39,Hf30O64Si2,222,61,9,2,-12801674.800238,10.5702468752861,Hf30O64Si2_sc222/No61/9
40,Hf30O64Si2,222,14,12,2,-12801675.138485901,0.0,Hf30O64Si2_sc222/No14/12
41,Hf30O64Si2,222,29,10,2,-12801674.7391852,12.478146851062775,Hf30O64Si2_sc222/No29/10
42,Hf30O64Si2,222,61,10,1,-12801674.4029751,22.984712421894073,Hf30O64Si2_sc222/No61/10
43,Hf30O64Si2,222,14,13,2,-12801675.0804896,1.812384366989136,Hf30O64Si2_sc222/No14/13
44,Hf30O64Si2,222,29,11,2,-12801673.4509632,52.73508435487747,Hf30O64Si2_sc222/No29/11
45,Hf30O64Si2,222,61,11,1,-12801674.417017698,22.545881271362305,Hf30O64Si2_sc222/No61/11
46,Hf30O64Si2,222,61,12,1,-12801673.989775699,35.89719378948212,Hf30O64Si2_sc222/No61/12
47,Hf30O64Si2,222,61,13,1,-12801674.346730499,24.742356181144714,Hf30O64Si2_sc222/No61/13
48,Hf30O64Si2,222,14,14,2,-12801674.8336819,9.525124967098236,Hf30O64Si2_sc222/No14/14
49,Hf30O64Si2,222,29,12,2,-12801673.85027,40.25674688816071,Hf30O64Si2_sc222/No29/12
50,Hf30O64Si2,222,61,14,1,-12801674.3301517,25.26044374704361,Hf30O64Si2_sc222/No61/14
51,Hf30O64Si2,222,14,15,2,-12801675.1179877,0.640568733215332,Hf30O64Si2_sc222/No14/15
52,Hf30O64Si2,222,61,15,1,-12801674.6051297,16.66738122701645,Hf30O64Si2_sc222/No61/15
53,Hf30O64Si2,222,61,16,1,-12801674.2118916,28.95607173442841,Hf30O64Si2_sc222/No61/16
54,Hf30O64Si2,222,61,17,1,-12801674.2916035,26.465074896812443,Hf30O64Si2_sc222/No61/17
55,Hf30O64Si2,222,14,16,1,-12801675.1768492,-1.1988531351089478,Hf30O64Si2_sc222/No14/16
56,Hf30O64Si2,222,29,13,2,-12801673.7290536,44.044759273529046,Hf30O64Si2_sc222/No29/13
57,Hf30O64Si2,222,61,18,2,-12801674.1705016,30.249509394168854,Hf30O64Si2_sc222/No61/18
58,Hf30O64Si2,222,137,8,4,-12801672.6470959,77.85593748092651,Hf30O64Si2_sc222/No137/8
59,Hf30O64Si2,222,14,17,1,-12801674.817382598,10.03447812795639,Hf30O64Si2_sc222/No14/17
60,Hf30O64Si2,222,61,19,2,-12801674.210627198,28.995584428310394,Hf30O64Si2_sc222/No61/19
61,Hf30O64Si2,222,14,18,1,-12801675.6808901,-16.950131237506863,Hf30O64Si2_sc222/No14/18
62,Hf30O64Si2,222,29,14,2,-12801673.6304321,47.12668126821518,Hf30O64Si2_sc222/No29/14
63,Hf30O64Si2,222,137,9,4,-12801674.598400801,16.877659440040592,Hf30O64Si2_sc222/No137/9
64,Hf30O64Si2,222,14,19,1,-12801675.3434393,-6.404793798923492,Hf30O64Si2_sc222/No14/19
65,Hf30O64Si2,222,14,20,1,-12801675.1709129,-1.0133437514305117,Hf30O64Si2_sc222/No14/20
66,Hf30O64Si2,222,29,15,2,-12801673.670453599,45.876009345054634,Hf30O64Si2_sc222/No29/15
67,Hf30O64Si2,222,61,20,1,-12801674.6115075,16.468074977397922,Hf30O64Si2_sc222/No61/20
68,Hf30O64Si2,222,14,21,1,-12801674.7491284,12.16742181777954,Hf30O64Si2_sc222/No14/21
69,Hf30O64Si2,222,61,21,1,-12801673.8087099,41.555499970912926,Hf30O64Si2_sc222/No61/21
70,Hf30O64Si2,222,14,22,1,-12801675.3119125,-5.419581234455109,Hf30O64Si2_sc222/No14/22
71,Hf30O64Si2,222,29,16,2,-12801673.6674565,45.96966868638992,Hf30O64Si2_sc222/No29/16
72,Hf30O64Si2,222,61,22,1,-12801674.351753801,24.585378170013428,Hf30O64Si2_sc222/No61/22
73,Hf30O64Si2,222,14,23,1,-12801675.218685199,-2.5062281489372253,Hf30O64Si2_sc222/No14/23
74,Hf30O64Si2,222,61,23,1,-12801674.4202054,22.446265637874603,Hf30O64Si2_sc222/No61/23
75,Hf31LaO64,222,14,1,1,-13442791.1826261,0.0,Hf31LaO64_sc222/No14/1
76,Hf31LaO64,222,29,1,1,-13442789.982080901,37.517037630081184,Hf31LaO64_sc222/No29/1
77,Hf31LaO64,222,61,1,1,-13442790.3798221,25.08762502670288,Hf31LaO64_sc222/No61/1
78,Hf31LaO64,222,137,1,1,-13442787.9704376,100.38089072704315,Hf31LaO64_sc222/No137/1
79,Hf31LaO63,222,14,1,1,-13440753.663507301,-15.502249002456665,Hf31LaO63_sc222/No14/1
80,Hf31LaO63,222,29,1,1,-13440752.7790065,12.429355204105375,Hf31LaO63_sc222/No29/1
81,Hf31LaO63,222,61,1,1,-13440753.105984699,2.1037278175354004,Hf31LaO63_sc222/No61/1
82,Hf31LaO63,222,137,1,4,-13440750.8087925,74.64663940668106,Hf31LaO63_sc222/No137/1
83,Hf31LaO63,222,14,2,1,-13440753.8489496,-21.358321666717533,Hf31LaO63_sc222/No14/2
84,Hf31LaO63,222,29,2,1,-13440752.2614882,28.772038340568546,Hf31LaO63_sc222/No29/2
85,Hf31LaO63,222,61,2,1,-13440752.848591302,10.231940388679504,Hf31LaO63_sc222/No61/2
86,Hf31LaO63,222,14,3,1,-13440753.2606115,-2.7792237401008606,Hf31LaO63_sc222/No14/3
87,Hf31LaO63,222,29,3,1,-13440752.127420802,33.00574564933777,Hf31LaO63_sc222/No29/3
88,Hf31LaO63,222,61,3,1,-13440752.4520679,22.75373202562332,Hf31LaO63_sc222/No61/3
89,Hf31LaO63,222,14,4,1,-13440753.1737697,-0.036851048469543464,Hf31LaO63_sc222/No14/4
90,Hf31LaO63,222,29,4,1,-13440751.9574393,38.37358248233795,Hf31LaO63_sc222/No29/4
91,Hf31LaO63,222,61,4,1,-13440752.139867699,32.61268573999405,Hf31LaO63_sc222/No61/4
92,Hf31LaO63,222,14,5,1,-13440752.902332,8.53486567735672,Hf31LaO63_sc222/No14/5
93,Hf31LaO63,222,29,5,1,-13440752.0970974,33.96332675218582,Hf31LaO63_sc222/No29/5
94,Hf31LaO63,222,61,5,1,-13440751.9412584,38.884558260440826,Hf31LaO63_sc222/No61/5
95,Hf31LaO63,222,137,2,4,-13440750.7089902,77.79829096794128,Hf31LaO63_sc222/No137/2
96,Hf31LaO63,222,14,6,1,-13440752.7782229,12.454100370407104,Hf31LaO63_sc222/No14/6
97,Hf31LaO63,222,29,6,1,-13440751.8695906,41.147752046585076,Hf31LaO63_sc222/No29/6
98,Hf31LaO63,222,61,6,1,-13440752.2178834,30.149032056331635,Hf31LaO63_sc222/No61/6
99,Hf31LaO63,222,14,7,1,-13440752.9429285,7.252870976924896,Hf31LaO63_sc222/No14/7
100,Hf31LaO63,222,29,7,1,-13440751.9038241,40.066694140434265,Hf31LaO63_sc222/No29/7
101,Hf31LaO63,222,61,7,1,-13440751.9790328,37.69168257713318,Hf31LaO63_sc222/No61/7
102,Hf31LaO63,222,14,8,1,-13440753.1714358,0.03685098886489868,Hf31LaO63_sc222/No14/8
103,Hf31LaO63,222,29,8,1,-13440751.7668051,44.39360994100571,Hf31LaO63_sc222/No29/8
104,Hf31LaO63,222,61,8,1,-13440752.5339452,20.168133139610287,Hf31LaO63_sc222/No61/8
105,Hf30La2O64,222,14,1,1,-13255955.527677199,1.136674880981445,Hf30La2O64_sc222/No14/1
106,Hf30La2O64,222,29,1,1,-13255954.8415776,22.577287375926968,Hf30La2O64_sc222/No29/1
107,Hf30La2O64,222,61,1,1,-13255954.8920843,20.998952984809875,Hf30La2O64_sc222/No61/1
108,Hf30La2O64,222,137,1,2,-13255952.7689953,87.34548425674437,Hf30La2O64_sc222/No137/1
109,Hf30La2O64,222,14,2,1,-13255955.7839019,-6.870346963405608,Hf30La2O64_sc222/No14/2
110,Hf30La2O64,222,29,2,1,-13255954.786568599,24.29631859064102,Hf30La2O64_sc222/No29/2
111,Hf30La2O64,222,61,2,1,-13255954.9687341,18.603646755218502,Hf30La2O64_sc222/No61/2
112,Hf30La2O64,222,137,2,1,-13255952.7605083,87.6107029914856,Hf30La2O64_sc222/No137/2
113,Hf30La2O64,222,14,3,1,-13255955.6275643,-1.9847970008850095,Hf30La2O64_sc222/No14/3
114,Hf30La2O64,222,29,3,1,-13255954.8236467,23.13762801885605,Hf30La2O64_sc222/No29/3
115,Hf30La2O64,222,61,3,1,-13255954.8833085,21.273196756839756,Hf30La2O64_sc222/No61/3
116,Hf30La2O64,222,137,3,2,-13255953.0192657,79.52453428506851,Hf30La2O64_sc222/No137/3
117,Hf30La2O64,222,14,4,1,-13255955.6452705,-2.538115739822388,Hf30La2O64_sc222/No14/4
118,Hf30La2O64,222,29,4,1,-13255954.7769488,24.59693729877472,Hf30La2O64_sc222/No29/4
119,Hf30La2O64,222,61,4,2,-13255954.8078941,23.629896759986877,Hf30La2O64_sc222/No61/4
120,Hf30La2O64,222,14,5,1,-13255955.513260301,1.587203085422516,Hf30La2O64_sc222/No14/5
121,Hf30La2O64,222,29,5,1,-13255954.7956836,24.011474907398227,Hf30La2O64_sc222/No29/5
122,Hf30La2O64,222,137,4,1,-13255953.066675698,78.04297178983687,Hf30La2O64_sc222/No137/4
123,Hf30La2O64,222,14,6,1,-13255955.5482502,0.493768572807312,Hf30La2O64_sc222/No14/6
124,Hf30La2O64,222,29,6,1,-13255954.8131125,23.46682173013687,Hf30La2O64_sc222/No29/6
125,Hf30La2O64,222,61,5,2,-13255954.988714399,17.979262351989746,Hf30La2O64_sc222/No61/5
126,Hf30La2O64,222,14,7,1,-13255955.551328698,0.3975655436515808,Hf30La2O64_sc222/No14/7
127,Hf30La2O64,222,29,7,1,-13255954.7361577,25.87165927886963,Hf30La2O64_sc222/No29/7
128,Hf30La2O64,222,137,5,1,-13255953.1047569,76.85293430089949,Hf30La2O64_sc222/No137/5
129,Hf30La2O64,222,14,8,2,-13255955.564050801,0.0,Hf30La2O64_sc222/No14/8
130,Hf30La2O64,222,29,8,2,-13255954.6296256,29.2007874250412,Hf30La2O64_sc222/No29/8
131,Hf30La2O64,222,61,6,2,-13255954.925332302,19.95995289087295,Hf30La2O64_sc222/No61/6
132,Hf30La2O64,222,137,6,8,-13255953.7826356,55.66922491788864,Hf30La2O64_sc222/No137/6
133,Hf30La2O64,222,61,7,2,-13255954.783880001,24.380337417125702,Hf30La2O64_sc222/No61/7
134,Hf30La2O64,222,14,9,2,-13255955.516325999,1.4913998246192932,Hf30La2O64_sc222/No14/9
135,Hf30La2O64,222,29,9,2,-13255954.7431211,25.654053032398227,Hf30La2O64_sc222/No29/9
136,Hf30La2O64,222,14,10,2,-13255955.524513198,1.2355498671531675,Hf30La2O64_sc222/No14/10
137,Hf30La2O64,222,29,10,2,-13255954.785366999,24.33386862277985,Hf30La2O64_sc222/No29/10
138,Hf30La2O64,222,61,8,2,-13255954.7443183,25.616640508174896,Hf30La2O64_sc222/No61/8
139,Hf30La2O64,222,137,7,8,-13255952.950282302,81.68026548624039,Hf30La2O64_sc222/No137/7
140,Hf30La2O64,222,14,11,2,-13255956.1538172,-18.430200099945072,Hf30La2O64_sc222/No14/11
141,Hf30La2O64,222,29,11,2,-13255955.5457132,0.5730498433113098,Hf30La2O64_sc222/No29/11
142,Hf30La2O64,222,61,9,2,-13255954.8462407,22.431565523147587,Hf30La2O64_sc222/No61/9
143,Hf30La2O64,222,14,12,2,-13255955.671269301,-3.3505781888961788,Hf30La2O64_sc222/No14/12
144,Hf30La2O64,222,29,12,2,-13255954.6894369,27.33168435096741,Hf30La2O64_sc222/No29/12
145,Hf30La2O64,222,61,10,1,-13255954.781869901,24.443153023719788,Hf30La2O64_sc222/No61/10
146,Hf30La2O64,222,14,13,2,-13255955.5163021,1.4921467900276184,Hf30La2O64_sc222/No14/13
147,Hf30La2O64,222,29,13,2,-13255954.721551199,26.32811242341995,Hf30La2O64_sc222/No29/13
148,Hf30La2O64,222,61,11,1,-13255954.826998,23.03289991617203,Hf30La2O64_sc222/No61/11
149,Hf30La2O64,222,61,12,1,-13255954.804897802,23.723531067371372,Hf30La2O64_sc222/No61/12
150,Hf30La2O64,222,61,13,1,-13255954.848397199,22.36417490243912,Hf30La2O64_sc222/No61/13
151,Hf30La2O64,222,14,14,2,-13255955.6760636,-3.500400125980377,Hf30La2O64_sc222/No14/14
152,Hf30La2O64,222,29,14,2,-13255954.657088,28.34258735179901,Hf30La2O64_sc222/No29/14
153,Hf30La2O64,222,61,14,1,-13255954.841009801,22.595031142234802,Hf30La2O64_sc222/No61/14
154,Hf30La2O64,222,14,15,2,-13255955.6679882,-3.2480438351631165,Hf30La2O64_sc222/No14/15
155,Hf30La2O64,222,29,15,2,-13255954.6970651,27.09330302476883,Hf30La2O64_sc222/No29/15
156,Hf30La2O64,222,61,15,1,-13255954.7991644,23.902699887752533,Hf30La2O64_sc222/No61/15
157,Hf30La2O64,222,61,16,1,-13255954.6926163,27.232328057289124,Hf30La2O64_sc222/No61/16
158,Hf30La2O64,222,61,17,1,-13255954.8124033,23.48898416757584,Hf30La2O64_sc222/No61/17
159,Hf30La2O64,222,14,16,1,-13255955.4984243,2.050827920436859,Hf30La2O64_sc222/No14/16
160,Hf30La2O64,222,29,16,2,-13255954.6654236,28.082099854946136,Hf30La2O64_sc222/No29/16
161,Hf30La2O64,222,61,18,2,-13255954.8900605,21.062196791172028,Hf30La2O64_sc222/No61/18
162,Hf30La2O64,222,137,8,4,-13255953.9289618,51.09653121232986,Hf30La2O64_sc222/No137/8
163,Hf30La2O64,222,14,17,1,-13255955.5001569,1.9966842532157896,Hf30La2O64_sc222/No14/17
164,Hf30La2O64,222,61,19,2,-13255954.931450099,19.768771767616276,Hf30La2O64_sc222/No61/19
165,Hf30La2O64,222,14,18,1,-13255955.5956424,-0.9872376322746276,Hf30La2O64_sc222/No14/18
166,Hf30La2O64,222,29,17,2,-13255954.762407199,25.051362454891205,Hf30La2O64_sc222/No29/17
167,Hf30La2O64,222,137,9,4,-13255952.816467,85.86199355125426,Hf30La2O64_sc222/No137/9
168,Hf30La2O64,222,14,19,1,-13255955.5043359,1.866090416908264,Hf30La2O64_sc222/No14/19
169,Hf30La2O64,222,14,20,1,-13255955.5792157,-0.4739032983779907,Hf30La2O64_sc222/No14/20
170,Hf30La2O64,222,29,18,2,-13255954.675346302,27.77201545238495,Hf30La2O64_sc222/No29/18
171,Hf30La2O64,222,61,20,1,-13255954.844469301,22.486921727657318,Hf30La2O64_sc222/No61/20
172,Hf30La2O64,222,14,21,1,-13255956.2826762,-22.45704388618469,Hf30La2O64_sc222/No14/21
173,Hf30La2O64,222,61,21,1,-13255954.7037908,26.883124828338623,Hf30La2O64_sc222/No61/21
174,Hf30La2O64,222,14,22,1,-13255955.3847106,5.604381144046784,Hf30La2O64_sc222/No14/22
175,Hf30La2O64,222,29,19,2,-13255954.606756,29.91546231508255,Hf30La2O64_sc222/No29/19
176,Hf30La2O64,222,61,22,1,-13255954.668709101,27.979428052902218,Hf30La2O64_sc222/No61/22
177,Hf30La2O64,222,14,23,1,-13255955.720117599,-4.877087593078613,Hf30La2O64_sc222/No14/23
178,Hf30La2O64,222,61,23,1,-13255955.004509801,17.485656142234802,Hf30La2O64_sc222/No61/23
179,Hf30La2O63,222,14,1,32,-13253922.1674775,-27.346773266792297,Hf30La2O63_sc222/No14/1
180,Hf30La2O63,222,14,2,32,-13253921.629595699,-10.361032128334044,Hf30La2O63_sc222/No14/2
181,Hf30La2O63,222,14,3,32,-13253921.393577699,-2.907832145690918,Hf30La2O63_sc222/No14/3
182,Hf30La2O63,222,14,4,32,-13253921.5853841,-8.964876353740694,Hf30La2O63_sc222/No14/4
183,Hf30La2O63,222,14,5,32,-13253921.8610017,-17.668590009212497,Hf30La2O63_sc222/No14/5
184,Hf30La2O63,222,14,6,32,-13253921.209415,2.907832086086273,Hf30La2O63_sc222/No14/6
185,Hf30La2O63,222,14,7,32,-13253920.895592,12.818032026290894,Hf30La2O63_sc222/No14/7
186,Hf30La2O63,222,14,8,32,-13253920.557065599,23.50833946466446,Hf30La2O63_sc222/No14/8
187,Hf30La2O63,222,14,9,32,-13253921.857533801,-17.559077441692352,Hf30La2O63_sc222/No14/9
188,Hf30La2O63,222,14,10,32,-13253920.310191,31.3043794631958,Hf30La2O63_sc222/No14/10
189,Hf30La2O63,222,14,11,32,-13253920.9442263,11.282212018966675,Hf30La2O63_sc222/No14/11
190,Hf30La2O63,222,14,12,32,-13253920.463766601,26.454623579978946,Hf30La2O63_sc222/No14/12
191,Hf30La2O63,222,29,1,32,-13253921.0016615,9.468468904495241,Hf30La2O63_sc222/No29/1
192,Hf30La2O63,222,29,2,32,-13253921.0346591,8.42643940448761,Hf30La2O63_sc222/No29/2
193,Hf30La2O63,222,29,3,32,-13253920.5129437,24.90166258811951,Hf30La2O63_sc222/No29/3
194,Hf30La2O63,222,29,4,32,-13253920.3445618,30.21898579597473,Hf30La2O63_sc222/No29/4
195,Hf30La2O63,222,29,5,32,-13253919.6619634,51.774724781513214,Hf30La2O63_sc222/No29/5
196,Hf30La2O63,222,29,6,32,-13253919.6597986,51.84308677911758,Hf30La2O63_sc222/No29/6
197,Hf30La2O63,222,29,7,32,-13253920.6591968,20.283143699169162,Hf30La2O63_sc222/No29/7
198,Hf30La2O63,222,29,8,32,-13253920.542752901,23.96031939983368,Hf30La2O63_sc222/No29/8
199,Hf30La2O63,222,29,9,32,-13253920.3930849,28.686677277088165,Hf30La2O63_sc222/No29/9
200,Hf30La2O63,222,29,10,32,-13253919.841713,46.09842151403427,Hf30La2O63_sc222/No29/10
201,Hf30La2O63,222,29,11,32,-13253920.140695099,36.65688157081604,Hf30La2O63_sc222/No29/11
202,Hf30La2O63,222,29,12,32,-13253920.261402,32.84508472681045,Hf30La2O63_sc222/No29/12
203,Hf30La2O63,222,61,1,32,-13253921.444338001,-4.5107890367507935,Hf30La2O63_sc222/No61/1
204,Hf30La2O63,222,61,2,32,-13253920.953510199,10.989036202430725,Hf30La2O63_sc222/No61/2
205,Hf30La2O63,222,61,3,32,-13253921.3269174,-0.8027700781822205,Hf30La2O63_sc222/No61/3
206,Hf30La2O63,222,61,4,32,-13253920.889143,13.021684646606445,Hf30La2O63_sc222/No61/4
207,Hf30La2O63,222,61,5,32,-13253920.725838,18.178684771060947,Hf30La2O63_sc222/No61/5
208,Hf30La2O63,222,61,6,32,-13253920.731961,17.985326826572418,Hf30La2O63_sc222/No61/6
209,Hf30La2O63,222,61,7,32,-13253919.824382005,46.64571613073349,Hf30La2O63_sc222/No61/7
210,Hf30La2O63,222,61,8,32,-13253921.1960735,3.3291426301002502,Hf30La2O63_sc222/No61/8
211,Hf30La2O63,222,61,9,32,-13253920.2964706,31.737655222415924,Hf30La2O63_sc222/No61/9
212,Hf30La2O63,222,61,10,32,-13253919.8977894,44.32758790254593,Hf30La2O63_sc222/No61/10
213,Hf30La2O63,222,61,11,32,-13253919.4993051,56.91130256652832,Hf30La2O63_sc222/No61/11
214,Hf30La2O63,222,61,12,32,-13253919.9143187,43.80561000108719,Hf30La2O63_sc222/No61/12
215,Hf30La2O63,222,137,1,64,-13253920.228113301,33.89630681276321,Hf30La2O63_sc222/No137/1
216,Hf30La2O63,222,137,2,256,-13253920.3295062,30.69442576169968,Hf30La2O63_sc222/No137/2
217,Hf30La2O63,222,137,3,64,-13253920.2166329,34.258845686912544,Hf30La2O63_sc222/No137/3
218,Hf15LaO31,122,14,1,1,-6625940.29349851,-24.78520536422729,Hf15LaO31_sc122/No14/1
219,Hf15LaO31,122,29,1,1,-6625940.3009092985,-25.258234322071075,Hf15LaO31_sc122/No29/1
220,Hf15LaO31,122,137,1,8,-6625939.4216232,30.86641025543213,Hf15LaO31_sc122/No137/1
221,Hf15LaO31,122,14,2,1,-6625940.61754352,-45.46892946958542,Hf15LaO31_sc122/No14/2
222,Hf15LaO31,122,29,2,1,-6625939.5936873015,19.88359522819519,Hf15LaO31_sc122/No29/2
223,Hf15LaO31,122,14,3,1,-6625940.02496604,-7.644834935665131,Hf15LaO31_sc122/No14/3
224,Hf15LaO31,122,29,3,1,-6625939.55943007,22.070227026939392,Hf15LaO31_sc122/No29/3
225,Hf15LaO31,122,14,4,1,-6625939.75733982,9.437689661979675,Hf15LaO31_sc122/No14/4
226,Hf15LaO31,122,29,4,1,-6625939.58412209,20.494140684604645,Hf15LaO31_sc122/No29/4
227,Hf15LaO31,122,14,5,1,-6625939.72515411,11.492096841335295,Hf15LaO31_sc122/No14/5
228,Hf15LaO31,122,29,5,1,-6625939.65775722,15.794025897979735,Hf15LaO31_sc122/No29/5
229,Hf15LaO31,122,137,2,8,-6625939.77075861,8.581171214580536,Hf15LaO31_sc122/No137/2
230,Hf15LaO31,122,14,6,1,-6625939.39439173,32.604589104652405,Hf15LaO31_sc122/No14/6
231,Hf15LaO31,122,29,6,1,-6625939.33690173,36.27416354417801,Hf15LaO31_sc122/No29/6
232,Hf15LaO31,122,14,7,1,-6625940.26732362,-23.11446762084961,Hf15LaO31_sc122/No14/7
233,Hf15LaO31,122,29,7,1,-6625939.94094516,-2.2818000316619877,Hf15LaO31_sc122/No29/7
234,Hf15LaO31,122,14,8,1,-6625939.98445806,-5.059219121932983,Hf15LaO31_sc122/No14/8
235,Hf15LaO31,122,29,8,1,-6625939.48487689,26.828940629959106,Hf15LaO31_sc122/No29/8
236,Hf15LaO31,212,14,9,1,-6625940.32977804,-27.10091996192932,Hf15LaO31_sc212/No14/9
237,Hf15LaO31,212,29,9,1,-6625940.29216764,-24.70025622844696,Hf15LaO31_sc212/No29/9
238,Hf15LaO31,212,61,1,1,-6625940.2184347,-19.993898272514343,Hf15LaO31_sc212/No61/1
239,Hf15LaO31,212,14,10,1,-6625940.56786409,-42.29790198802947,Hf15LaO31_sc212/No14/10
240,Hf15LaO31,212,29,10,1,-6625939.66528021,15.313835084438324,Hf15LaO31_sc212/No29/10
241,Hf15LaO31,212,61,2,1,-6625939.94308478,-2.4183714985847478,Hf15LaO31_sc212/No61/2
242,Hf15LaO31,212,14,11,1,-6625939.878240099,1.7206506133079529,Hf15LaO31_sc212/No14/11
243,Hf15LaO31,212,29,11,1,-6625939.49358314,26.27322250604629,Hf15LaO31_sc212/No29/11
244,Hf15LaO31,212,61,3,1,-6625939.46325824,28.208854377269745,Hf15LaO31_sc212/No61/3
245,Hf15LaO31,212,14,12,1,-6625940.04320102,-8.80876988172531,Hf15LaO31_sc212/No14/12
246,Hf15LaO31,212,29,12,1,-6625939.74540613,10.199414610862732,Hf15LaO31_sc212/No29/12
247,Hf15LaO31,212,61,4,1,-6625939.32300527,37.1611716747284,Hf15LaO31_sc212/No61/4
248,Hf15LaO31,212,14,13,1,-6625939.93687426,-2.0219553112983704,Hf15LaO31_sc212/No14/13
249,Hf15LaO31,212,29,13,1,-6625939.57206834,21.263528883457184,Hf15LaO31_sc212/No29/13
250,Hf15LaO31,212,61,5,1,-6625939.26015326,41.1730021238327,Hf15LaO31_sc212/No61/5
251,Hf15LaO31,212,14,14,1,-6625939.65896176,15.71714037656784,Hf15LaO31_sc212/No14/14
252,Hf15LaO31,212,29,14,1,-6625939.442156,29.55580598115921,Hf15LaO31_sc212/No29/14
253,Hf15LaO31,212,61,6,1,-6625939.5363,23.54661446809769,Hf15LaO31_sc212/No61/6
